"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MOUNT TYPE","POWER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","TOLERANCE","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"ERJ-PA3F1000V","R0603_MD","","ERJ-PA3F1000V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","Newark","","","","","","P100BYCT-ND","84X4396","","","","","","1%","100R","*","R?","RES SMD 100 OHM 1% 1/4W 0603"
"ERJ-PA3F1001V","R0603_HD","","ERJ-PA3F1001V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","","","","","","","P1.0KBYCT-ND","","","","","","","1%","1k","*","R?","RES SMD 1K OHM 1% 1/4W 0603"
"ERJ-PA3F1501V","R0603_HD","","ERJ-PA3F1501V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","","","","","","","P1.5KBYCT-ND","","","","","","","1%","1.5K","*","R?","RES SMD 1.5K OHM 1% 1/4W 0603"
"ERJ-PA3F1801V","R0603_HD","","ERJ-PA3F1801V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","","","","","","","P1.8KBYCT-ND","","","","","","","1%","1.8 k","*","R?","RES SMD 1.8K OHM 1% 1/4W 0603"
"ERJ-PA3F2201V","R0603_MD","","ERJ-PA3F2201V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","","","","","","","P2.2KBYCT-ND","","","","","","","1%","2k2","*","R?","RES SMD 2.2K OHM 1% 1/4W 0603"
"ERJ-PB3B1003V","R0603_MD","","ERJ-PB3B1003V","","Panasonic Electronic Components","","SMD","1/5W","Digi-Key","","","","","","","P20200CT-ND","","","","","","","0.1%","100k","*","R?","RES SMD 100K OHM 0.1% 1/5W 0603"
"ERJ-PB3B1501V","R0603_MD","","ERJ-PB3B1501V","","Panasonic Electronic Components","","SMD","1/5W","Digi-Key","","","","","","","P19990CT-ND","","","","","","","0.1%","1.5k","*","R?","RES SMD 1.5K OHM 0.1% 1/5W 0603"
"ERJ-PB3B6492V","R0603_MD","","ERJ-PB3B6492V","","Panasonic Electronic Components","","SMD","1/5W","Digi-Key","","","","","","","P20179CT-ND","","","","","","","0.1%","64.9k","*","R?","RES SMD 64.9K OHM 0.1% 1/5W 0603"
"ERJ-PB6B1071V","R0805_MD","","ERJ-PB6B1071V","","Panasonic Electronic Components","","SMD","0.25W, 1/4W","Digi-Key","Digi-Key","Mouser","","","","","P20597CT-ND","P20597DKR-ND","Anonymous Daily Limit Reached","","","","","0.1%","1.07kR","*","R?","RES SMD 1.07K OHM 0.1% 1/4W 0805"
"ERJ-PB6D1001V","R0805_MD","","ERJ-PB6D1001V","","Panasonic Electronic Components","","SMD","1/4W","Digi-Key","","","","","","","P21019CT-ND","","","","","","","0.5%","1K","*","R?","RES SMD 1K OHM 0.5% 1/4W 0805"
