"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER PART NUMBER 1","SHEETPART","DESIGNATOR","DESCRIPTION"
"114-00841-68","114-00841-68","114-00841-68","Amphenol Commercial Products","SMD","Digi-Key","114-00841-68-1-ND","*","SD?","CONN MICRO SD CARD PUSH-PULL R/A"
"115A-ADA0-R02","115A-ADA0-R02","115A-ADA0-R02","Attend","SMD","Itech","*","*","SIM?","SIM Card Socket"
