"LIBRARYREFERENCE","FOOTPRINT1","CATEGORY","COMMENT","MANUFACTURER","MOUNT TYPE","PART NUMBER","POWER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"GS1ME-TP","DO-214AC SMA","Rectifier","GS1ME-TP","Micro Commercial Co","SMD","","","Digi-Key","","","","","","GS1ME-TPMSCT-ND","","","","","","1A","1000V","*","D?","DIODE GEN PURP 1KV 1A DO214AC"
"GSOT05C-E3-08","SOT-23","Zener","GSOT05C-E3-08","Vishay Semiconductor Diodes Division","SMD","","480W","Digi-Key","Mouser","","","","","GSOT05C-E3-08CT-ND","78-GSOT05C-E3-08","","","","","5V","","*","D?","DIODE ESD 2LINE 5V SOT23"
"LTST-C150CKT","L1206 RED","","LTST-C150CKT","Lite-On Inc","SMD","","","Mouser","Newark","Digi-Key","","","","859-LTST-C150CKT","09J9557","160-1167-1-ND","","","","RED","1.8V","*","LED?","LED RED CLEAR 1206 SMD"
"LTST-C150GKT","L1206 GREEN","","LTST-C150GKT","Lite-On Inc","SMD","","","Mouser","Newark","Digi-Key","","","","859-LTST-C150GKT","40K0120","160-1169-1-ND","","","","GREEN","2.1V","*","LED?","LED GREEN CLEAR 1206 SMD"
"LTST-C190GKT","L0603 GREEN","LED","LTST-C190GKT","Lite-On Inc.","SMD","","","","","","","","","","","","","","","Green","2.1V","*","LED?","LED GREEN CLEAR 0603 SMD"
"LTST-C190KGKT","L0603 GREEN","","LTST-C190KGKT","Lite-On Inc.","SMD","","","Digikey","Mouser","Arrow","","","","160-1183-1-ND","859-LTST-C190GKT","LTST-C190GKT**MULT1","","","","GREEN","2V","*","LED?","LED GREEN CLEAR 0603 SMD"
"LTST-C190KRKT","L0603 RED","LED","LTST-C190KRKT","Lite-On Inc.","SMD","","","","","","","","","","","","","","","Red","2V","*","LED?","LED RED CLEAR 0603 SMD"
"LTST-C190YKT","L0603 YELLOW","LED","LTST-C190YKT","Lite-On Inc.","SMD","","","","","","","","","","","","","","","Yellow","2.1V","*","LED?","LED YELLOW CLEAR CHIP SMD"
"LTST-C230KGKT","L1206 GREEN REVERSE","","LTST-C230KGKT","Lite-On Inc","SMD","","","Mouser","Newark","Digi-Key","","","","859-LTST-C230KGKT","45K1224","160-1456-1-ND","","","","GREEN","2V","*","LED?","LED GREEN CLEAR 1206 REV MT SMD"
"LTST-C230KRKT","L1206 RED REVERSE","","LTST-C230KRKT","Lite-On Inc","SMD","","","Digi-Key","Mouser","Newark","","","","160-1457-1-ND","859-LTST-C230KRKT","58K2307","","","","RED","2V","*","LED?","LED SUPR RED CLR 1206 REV MT SMD"
"LTST-S270KGKT","L0603 R/A GREEN","","LTST-S270KGKT","Lite-On Inc.","SMD","","","Digi-Key","Arrow","","","","","160-1478-1-ND","DakXefaYPCDIGEkrktmyNISA3TtKifpK_A6EZjERB9U","","","","","GREEN","2V","*","LED?","LED GREEN CLEAR 0603 R/A SMD"
"LTST-S270KRKT","L0603 R/A RED","","LTST-S270KRKT","Lite-On Inc.","SMD","","","Arrow","Digi-Key","","","","","DakXefaYPCDIGEkrktmyNKdb-uTdGSwSvtvKEcv4UrY","160-1479-1-ND","","","","","RED","2V","*","LED?","LED RED CLEAR 0603 R/A SMD"
"MBR0530T1G","SOD-123","Schottky","MBR0530T1G","ON Semiconductor","SMD","","","Digi-Key","Newark","Allied","Mouser","Farnell","","MBR0530T1GOSCT-ND","48K7499","70099496","863-MBR0530T1G","1431036","","0.5A","30V","*","D?","DIODE SCHOTTKY 30V 0.5A SOD123"
"MBR1H100SFT3G","SOD-123W","Schottky","MBR1H100SFT3G","ON Semiconductor","SMD","","","Farnell","Digi-Key","Newark","Avnet","","","2533229","MBR1H100SFT3GOSCT-ND","81Y6504","MBR1H100SFT3G","","","1A","100V","*","D?","DIODE SCHOTTKY 100V 1A SOD123FL"
"MBRS340","DO-214AB SMC","Rectifier","MBRS340","Fairchild/ON Semiconductor","SMD","","","Digi-Key","Farnell","","","","","MBRS340FSCT-ND","9557377","","","","","4A","40V","*","D?","DIODE SCHOTTKY 40V 4A SMC"
"MBRS340T3G","DO-214AB SMC","Schottky","MBRS340T3G","ON Semiconductor","SMD","","","Mouser","Allied","Digi-Key","Newark","Farnell","","863-MBRS340T3G","70099509","MBRS340T3GOSCT-ND","90R9191","4085175","","4A","40V","*","D?","DIODE SCHOTTKY 40V 4A SMC"
"MMBZ15VALT1G","SOT-23","Zener","MMBZ15VALT1G","ON Semiconductor","SMD","","40W","Mouser","Allied","Digi-Key","Newark","Farnell","","863-MMBZ15VALT1G","R1107507","MMBZ15VALT1GOSCT-ND","84R0112","1829193","","15V","","*","D?","TVS ZENER DUAL CA 40W 15V SOT23"
"MT212T-G-A","RECTANGULAR LED 2x4MM","","MT212T-G-A","Marktech Optoelectronics","PTH","","","Digi-Key","","","","","","1125-1185-ND","","","","","","GREEN","2.1V","*","LED?","LED GRN 572NM DIFF 2X4MM"
"MV54123","RECTANGULAR LED 2x5MM","","MV54123","Everlight Electronics Co Ltd","PTH","","","Farnell","Digi-Key","","","","","1003243","1080-1107-ND","","","","","GREEN","2.2V","*","LED?","LED SS HE GREEN DIFFUSED 2X5MM"
"PGB1010603MR","D0603_MD","TVS","PGB1010603MR","Littelfuse Inc.","SMD","","xxW","Mouser","Arrow","Newark","Digikey","Farnell","","576-PGB1010603MR","PGB1010603MR","42K3295","F2594CT-ND","1757240","","24V","","*","D?","TVS DIODE 24VWM 150VC 0603"
"PLVA650A,215","SOT-23","Zener","PLVA650A,215","NXP Semiconductors","SMD","","250mW","Newark","Mouser","Digi-Key","","","","70R7560","771-PLVA650A-T/R","568-6471-1-ND","","","","5V","","*","D?","DIODE ZENER 5V 250MW TO236AB"
"PMEG4050EP,115","SOD-128","Schottky","PMEG4050EP,115","NXP Semiconductors","SMD","","","Newark","Farnell","Digi-Key","","","","05W7170","1829203","568-7408-1-ND","","","","5A","40V","*","D?","Diode Schottky 40V 5A Surface Mount SOD-128"
"PTVS26VS1UR,115","SOD-123W","TVS","PTVS26VS1UR,115","NXP Semiconductors","SMD","","400W","Farnell","Digi-Key","Mouser","","","","1829248","568-7453-1-ND","771-PTVS26VS1UR115","","","","28.9V","","*","D?","TVS UNI-DIR 26V 400W SOD123W"
"QTLP652C4TR","L1206 GREEN ROUND REVERSE","","QTLP652C4TR","Everlight Electronics Co Ltd","SMD","","","Digi-Key","Avnet","","","","","1080-1420-1-ND","QTLP652C4TR","","","","","GREEN","2.1V","*","LED?","LED GREEN CLEAR 1206 SMD"
"RS3A-13-F","DO-214AB SMC","Rectifier","RS3A-13-F","Diodes Incorporated","SMD","","","Mouser","Digi-Key","","","","","621-RS3A-13-F","RS3A-FDICT-ND","","","","","3A","50V","*","D?","DIODE FAST RECOVERY 50V 3A SMC"
"S1M-13-F","S1M-13-F","","S1M-13-F","Diodes Incorporated","","S1M-13-F","","Farnell","Digi-Key","Digi-Key","Digi-Key","Farnell","Newark","1858603","US1M-FDIDKR-ND","RS1M-FDICT-ND","RS1M-FDIDKR-ND","1773482","23T9599","","","*","D?","DIODE GEN PURP 1KV 1A SMA"
"SB360-E3/54","DO-201AD","Schottky","SB360-E3/54","Vishay Semiconductor Diodes Division","PTH","","","Newark","Farnell","Digi-Key","","","","05R5709","9550380","SB360-E3/54GICT-ND","","","","3A","60V","*","D?","DIODE SCHOTTKY 60V 3A DO201AD"
"SBR10B45P5-13","POWERDI-5","Rectifier","SBR10B45P5-13","Diodes Incorporated","SMD","","","Digi-Key","","","","","","SBR10B45P5-13DICT-ND","","","","","","10A","45V","*","D?","DIODE SBR 45V 10A POWERDI5"
"SBR3U40P1-7","POWERDI-123","Schottky","SBR3U40P1-7","Diodes Incorporated","SMD","","","Digi-Key","Mouser","","","","","SBR3U40P1DICT-ND","621-SBR3U40P1-7","","","","","3A","40V","*","D?","DIODE SBR 40V 3A POWERDI123"
"SBRT3U40P1-7","POWERDI-123","Schottky","SBRT3U40P1-7","Diodes Incorporated","SMD","","","Digi-Key","Avnet","","","","","SBRT3U40P1-7DICT-ND","SBRT3U40P1-7","","","","","3A","40V","*","D?","DIODE SBR 40V 3A POWERDI123"
"SK810L-TP","DO-214AB SMC","Schottky","SK810L-TP","Micro Commercial Co","SMD","","","Mouser","Newark","Digi-Key","","","","N/A","69W3728","SK810L-TPMSCT-ND","","","","8A","100V","*","D?","DIODE SCHOTTKY 100V 8A DO214AB"
"SM15T36A-E3/57T","DO-214AB SMC","Schottky","SM15T36A-E3/57T","Vishay Semiconductor Diodes Division","SMD","","1500W","Digi-Key","","","","","","SM15T36A-E3/57TGICT-ND","","","","","","49.9V","","*","D?","TVS DIODE 30.8VWM 49.9VC SMC"
"SMAJ15CA","DO-214AC SMA","TVS","SMAJ15CA","Bourns Inc.","SMD","","400W","Mouser","Digi-Key","Newark","Farnell","","","652-SMAJ15CA","SMAJ15CABCT-ND","71J1959","1899446","","","15V","","*","D?","TVS DIODE 15VWM SMD"
"SMAJ28CA-TR","DO-214AC SMA","TVS","SMAJ28CA-TR","STMicroelectronics","SMD","","400W","Farnell","Digi-Key","Newark","Mouser","","","2252451","497-4620-1-ND","26M3111","511-SMAJ28CA-TR","","","31.1V","","*","D?","TVS DIODE 28VWM 59VC SMA"
"SMAJ7.0CA","DO-214AC SMA","Zener","SMAJ7.0CA","Bourns Inc.","SMD","","400W","Mouser","Allied","Digi-Key","Newark","Farnell","","652-SMAJ7.0CA","R1012530","SMAJ7.0CABCT-ND","33R1042","1831412","","7V","","*","D?","DIODE TVS 7.0V 400W BI 5% SMD"
"SMAT70A-13-F","DO-214AC SMA","TVS","SMAT70A-13-F","Diodes Incorporated","SMD","","400W","Digi-Key","","","","","","SMAT70A-FDICT-ND","","","","","","70V","","*","D?","TVS DIODE 70VWM 100VC SMA"
"SMAZ18-13-F","DO-214AC SMA","Rectifier","SMAZ18-13-F","Diodes Incorporated","SMD","","","Mouser","Newark","Digi-key","Digi-Key","","","","","","SMAZ18-FDICT-ND","","","1W","18V","*","D?","DIODE ZENER 18V 1W SMA"
"SSL-LX3059IGW","SSL-LX3059IGW","","SSL-LX3059IGW","Lumex Opto/Components Inc.","Through Hole","","","Newark","Allied","Digi-Key","","","","09J9301","70127529","67-1327-ND","","","","GREEN/RED","2.2V Green, 2V Red","*","LED?","LED GRN/RED DIFF 3MM ROUND T/H"
"UF4003","DO-204AL","Rectifier","UF4003","Fairchild Semiconductor","PTH","","","Mouser","Newark","Farnell","Digi-Key","","","821-UF4003","05R5921","4546143","UF4003CT-ND","","","1A","200V","*","D?","DIODE GEN PURP 200V 1A DO204AL"
"VS-30WQ04FNTRPBF","DPAK  TO-252AA","Schottky","VS-30WQ04FNTRPBF","Vishay Semiconductor Diodes Division","SMD","","","Newark","Farnell","Mouser","Digi-Key","","","26M7062","9101233","844-30WQ04FNTRPBF","VS-30WQ04FNPBF-ND","","","3.5A","40V","*","D?","DIODE SCHOTTKY 40V 3.5A DPAK"
