"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"LDS-C504RI","7 SEG RED 19.0x12.7x8mm","LDS-C504RI","Lumex Opto/Components Inc","PTH","Digi-Key","Mouser","67-1453-ND","696-LDS-C504RI","LDS-C504RI","*","7SEG?","LED 7-SEG .50 SNGL RED CC DIRECT"
"NHD-C12864B2Z-RN-FBW","NHD-C12864","NHD-C12864B2Z-RN-FBW","Newhaven Display Intl","PANEL","Mouser","Digi-Key","763-C12864B2Z-RN-FBW","NHD-C12864B2Z-RN-FBW-ND","NHD-C12864","*","LCD?","LCD COG GRAPH 128X64 REFLECT"
