"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","CATEGORY","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","DATASHEETS","DATASHEETVERSION","DIELECTRIC","MANUFACTURER","MOUN TYPE","MOUNT TYPE","MOUNTING TYPE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PUBLISHED","PUBLISHER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER 8","SUPPLIER 9","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","SUPPLIER PART NUMBER 8","SUPPLIER PART NUMBER 9","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"S25FL132K0XMFI011","SOIC-8-S2A","","","Memory","","S25FL132K0XMFI011","","","","","","","","","","Spansion","","SMD","","","","","","","Mouser","Farnell","Digi-Key","","","","","","","797-25FL132K0XMFI011","2377544","1274-1132-ND","","","","","","","S25FL132K0XMFI011","","*","U?","IC FLASH MEM 32MB SPI CMOS 8SOIC"
"S25FL164K0XMFI011","SOIC-8-S2A","","","Memory","","S25FL164K0XMFI011","","","","","","","","","","Spansion","","SMD","","","","","","","Mouser","Farnell","Digi-Key","","","","","","","797-25FL164K0XMFI010","2363323","1274-1097-ND","","","","","","","S25FL164K0XMFI011","","*","U?","IC FLASH 64MBIT 8SO"
"SIP32510DT-T1-GE3","SOT23-6","","","Switch","","SIP32510DT-T1-GE3","","","","","","","","","","Vishay Siliconix","","SMD","","","","","","","Newark","Arrow","Farnell","Digi-Key","","","","","","12X8792","e-Ld4YZXhBAr4OPbtfSBwuK4mMcO_DAV8KvxQogVRcxirWDTtGmtott4fUuvrZ15","2361514","SIP32510DT-T1-GE3CT-ND","","","","","","SIP32510DT-T1-GE3","","*","U?","IC LOAD SWITCH SOT23-6"
"SN74CBTLV3257RSVR","UQFN-16","","","Multiplexer/Demultiplexer","","SN74CBTLV3257RSVR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","SN74CBTLV3257RSVR","","*","U?","IC 4BIT 1-4 FET MUX/DEMUX 16UQFN"
"SN74LV8153PWR","TSSOP-20","","","Interface","","SN74LV8153PWR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Newark","Digi-Key","Mouser","Farnell","","","","","","50R6759","296-34066-5-ND","595-SN74LV8153PW","1741443","","","","","","SN74LV8153PWR","","*","U?","IC SERIAL-PARALLEL INTRF 20TSSOP"
"SN74LVC1G07DBVR","SOT23-5","","","Logic","","SN74LVC1G07DBVR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","SN74LVC1G07DBVR","","*","U?","IC BUF NON-INVERT 5.5V SOT23-5"
"ST3222EBTR","TSSOP-20","","","Driver","","ST3222EBTR","","","","","","","","","","STMicroelectronics","","SMD","","","","","","","Digi-Key","Farnell","Mouser","","","","","","","497-6532-1-ND","2251864","511-ST3222EB","","","","","","","ST3222EBTR","","*","U?","IC DRVR/RCVR RS232 LPESD 20TSSOP"
"TCA4311ADR","SOIC-8","","","Interface","","TCA4311ADR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TCA4311ADR","","*","U?","IC ACCELERATOR I2C HOTSWAP 8SOIC"
"TCMT1600","SOP-4","","","Optocoupler","","TCMT1600","","","","","","","","","","Vishay Semiconductor Opto Division","","SMD","","","","","","","Newark","Mouser","Allied","Digi-Key","Farnell","","","","","22H1088","78-TCMT1600","R1083243","751-1374-1-ND","1469543","","","","","TCMT1600","","*","U?","OPTOCOUPLER TRANS 3.75KVRMS 4SO"
"TL431AIDBZR","SOT-23","","","VREF SHUNT ADJ","","TL431AIDBZR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Newark","Farnell","Mouser","Digi-Key","","","","","","91T5101","2453929","771-TL431AIDBZR215","568-4891-1-ND","","","","","","TL431A","","*","U?","IC VREF SHUNT ADJ SOT23-3"
"TL431AIZT","TO-92 - 2.54mm","","","VREF SHUNT ADJ","","TL431AIZT","","","","","","","","","","STMicroelectronics","","PTH","","","","","","","Farnell","Newark","Mouser","Digi-Key","","","","","","1795538","42K2688","511-TL431AIZT","497-2226-1-ND","","","","","","TL431AIZT","","*","U?","IC VREF SHUNT ADJ TO-92"
"TLV75512PDBVR","SOT23-5","","","Regulator","","TLV75512PDBVR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TLV75512PDBVR","","*","U?","IC REG LINEAR 1.2V 500MA SOT23-5"
"TLV75518PDBVR","SOT23-5","","","Regulator","","TLV75518PDBVR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TLV75518PDBVR","","*","U?","IC REG LINEAR 1.8V 500MA SOT23-5"
"TLV75525PDBVR","SOT23-5","","","Regulator","","TLV75525PDBVR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TLV75525PDBVR","","*","U?","IC REG LINEAR 2.5V 500MA SOT23-5"
"TLV75533PDBVR","SOT23-5","","","Regulator","","TLV75533PDBVR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TLV75533PDBVR","","*","U?","IC REG LINEAR 3.3V 500MA SOT23-5"
"TM4C123GH6PMIR","LQFP-64","","","Microcontroller","","TM4C123GH6PMIR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Newark","Digi-Key","Avnet","","","","","","","74W0757","296-46360-1-ND","TM4C123GH6PMIR","","","","","","","TM4C123GH6PMIR","","","U?","IC MCU 32BIT 256KB FLASH 64LQFP"
"TPS22975DSGR","WSON-8","","","Power Switch","","TPS22975DSGR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TPS22975DSGR","","*","U?","IC PWR SWITCH N-CHAN 1:1 8WSON"
"TPS3828-33DBVT","SOT23-5","","","Supervisor","","TPS3828-33DBVT","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TPS3828-33DBVT","","*","U?","IC SUPERVISOR 1 CHANNEL SOT23-5"
"TPS51200DRCR","VFDFN-10","","","Regulator","","TPS51200DRCR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TPS51200DRCR","","*","U?","IC REG CONV DDR 1OUT 10VSON"
"TPS53319DQPR","LFDFN-22","","","Regulator","","TPS53319DQPR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TPS53319DQPR","","*","U?","IC REG BUCK ADJUSTABLE 14A 22SON"
"TPS54620RHLR","VFQFN-14","","","Regulator","","TPS54620RHLR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TPS54620RHLR","","*","U?","IC REG BUCK ADJUSTABLE 6A 14VQFN"
"TPS55330RTET","QFN-16 0.5 Pitch","","","Regulator","","TPS55330RTET","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Digi-Key","Mouser","Farnell","Newark","","","","","","296-36219-1-ND","595-TPS55330RTET","2347002","06X1033","","","","","","TPS55330RTET","","*","U?","IC REG BST FLYBK SEPIC 16WQFN"
"TPS61170QDRVRQ1","PWSON-N6","","","Regulator","","TPS61170QDRVRQ1","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Mouser","Newark","Farnell","Digi-Key","","","","","","595-TPS61170QDRVRQ1","71T7158","2064220","296-29763-1-ND","","","","","","TPS61170QDRVRQ1","","*","U?","IC REG MULT CONFG ADJ 0.96A 6SON"
"TPS62091RGTR","QFN-16 0.5 Pitch","","","Regulator","","TPS62091RGTR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Avnet","Mouser","Arrow","Digi-Key","Newark","","","","","TPS62091RGTR/BKN","595-TPS62091RGTR","TPS62091RGTR","296-46388-1-ND","94T1868","","","","","TPS62091RGTR","","*","U?","IC REG BUCK 3.3V 3A SYNC 16QFN"
"TPS7A3001DGNR","MSOP-8 TPAD","","","Regulator","","TPS7A3001DGNR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Farnell","Digi-Key","Newark","Avnet","Mouser","","","","","2542795","296-27750-1-ND","01T0878","TPS7A3001DGNR/BKN","Anonymous Daily Limit Reached","","","","","TPS7A3001DGNR","","*","U?","IC REG LIN POS ADJ 150MA 8MSOP"
"TPS7A4901DGNR","MSOP-8 TPAD","","","Regulator","","TPS7A4901DGNR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Digi-Key","Avnet","Farnell","Newark","","","","","","296-27751-1-ND","TPS7A4901DGNR/BKN","2542799","01T0879","","","","","","TPS7A4901DGNR","","*","U?","IC REG LIN POS ADJ 150MA 8MSOP"
"TPS7A9201DSKT","WSON-10","","","Regulator","","TPS7A9201DSKT","","","","","","","","","","Texas Instruments","","SMD","","","","","","","","","","","","","","","","","","","","","","","","","TPS7A9201DSKT","","*","U?","IC REG LINEAR POS ADJ 2A 10SON"
"TS12A4514DBVR","SOT23-5","","","Switch","","TS12A4514DBVR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Newark","Mouser","Digi-Key","","","","","","","52P6819","595-TS12A4514DBVR","296-24201-1-ND","","","","","","","TS12A4514DBVR","","*","U?","IC SWITCH SPST SOT23-5"
"TS5A3166DBVR","SOT23-5","","","Switch","","TS5A3166DBVR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Newark","Mouser","Farnell","Digi-Key","","","","","","08K5004","595-TS5A3166DBVR","1755409","296-17740-1-ND","","","","","","TS5A3166DBVR","","*","U?","IC SWITCH SPST SOT23-5"
"ULN2803ADWR","SOIC-18","","","Driver","","ULN2803ADWR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Farnell","Digi-Key","Newark","Avnet","","","","","","1652419","296-15777-1-ND","87H4769","ULN2803ADWR/BKN","","","","","","ULN2803ADWR","","*","U?","TRANS 8NPN DARL 50V 0.5A 18SO"
"VN5160STR-E","SOIC-8","","","Power Switch","","VN5160STR-E","","","","","","","","","","STMicroelectronics","","SMD","","","","","","","Arrow","Farnell","Digi-Key","","","","","","","qJAUSOd8eRnH8dy0SblkkgEJgocfvSmV89SZTccSnu0","1739390","497-11467-1-ND","","","","","","","VN5160STR-E","","*","U?","IC DVR HIGHSIDE AUTO 8-SOIC"
"VN808CMTR-E","PowerSO-36","","","PMIC - Power Distribution Switches, Load Drivers","","VN808CMTR-E","","","","","","","","","","STMicroelectronics","","SMD","","","","","","","Digikey","Arrow","Mouser","Avnet","Newark","Mouser","Digi-Key","Digi-Key","Farnell","497-8285-1-ND","VN808CMTR-E**MULT1","511-VN808CMTR-E","VN808CMTR-E","57P5389","Anonymous Daily Limit Reached","497-8285-1-ND","497-8285-6-ND","2311329","VN808CMTR-E","","*","U?","IC DRIVER OCTAL HISIDE 36PWRSOIC"
"XTR300AIRGWR","VQFN-20","","","Interface","","XTR300AIRGWR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Newark","Digi-Key","Farnell","","","","","","","33AC5738","296-46269-1-ND","2782936","","","","","","","XTR300AIRGWR","","*","U?","IC ANLG CURR/VOLT OUT DVR 20VQFN"
