"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","MANUFACTURER","MANUFACTURER PART NUMBER 1","MOUNT TYPE","MOUNTING TYPE","N OF POSITIONS","PARTNUMBER","PITCH","PUBLISHED","PUBLISHER","ROLL SPACING","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"SBH41-NBPB-D10-SM-BK","HEADER SMD 2X10 1.27mm 180 GRAUS 2.54mm row spacing shrouded","","SBH41-NBPB-D10-SM-BK","","","","Sullins Connector Solutions","","SMD","","20","","1.27mm","","","2.54mm","Digi-Key","","","","","","S9134-ND","","","","","","SBH41-NBPB-D10-SM-BK","","CN?","CONN HEADR 1.27MM 20POS GOLD SMD"
"SFH11-PBPC-D05-ST-BK","HEADER 2X5 2.54mm 180 GRAUS UNSHROUDED FEMALE","","SFH11-PBPC-D05-ST-BK","","","","Sullins Connector Solutions","","SMD","","10","","2.54","","","","Digi-Key","","","","","","S9194-ND","","","","","","SFH11-PBPC-D05-ST-BK","*","CN?","CONN HEADER 2.54MM 10POS GOLD"
"SFH11-PBPC-D20-ST-BK","HEADER 2X20 2.54mm 180 GRAUS 8.5mm length","","SFH11-PBPC-D20-ST-BK","","","","Sullins Connector Solutions","","PTH","","40","","2.54mm","","","","Digi-Key","","","","","","S9200-ND","","","","","","SFH11-PBPC-D20-ST-BK","*","CN?","40 Position Header Connector 0.100" (2.54mm) Through Hole Gold"
"SH152H-5.08","SANHE SH152H-5.08","","SH152H-5.08","","","","Sanhe","","PTH","","2","","5.08mm","","","","","","","","","","","","","","","","SH152H-5.08","*","CN?","Terminal block 5.08mm"
"SH230V-5.0/5.08","SANHE SH230V-5.0/5.08","","SH230V-5.0/5.08","","","","Sanhe","","PTH","","2","","5.08mm","","","","","","","","","","","","","","","","SH230V-5.0/5.08","*","CN?","Pluggable terminal block 5.0/5.08mm the header part"
"SJ-43515TS-SMT-TR","AUDIO JACK 3.5MM SJ-43515TS-SMT-TR","","SJ-43515TS-SMT-TR","","","","CUI Inc","","SMD","","5","","-","","","","Mouser","Digi-Key","","","","","490-SJ43515TS-SMT-TR","CP-43515TSSJCT-ND","","","","","SJ-43515TS-SMT-TR","*","CN?","CONN AUDIO JACK 3.5MM 4COND SMD"
"SJ1-2535-SMT-TR","AUDIO JACK 2.5MM SJ1-2535-SMT-TR","","SJ1-2535-SMT-TR","","","","CUI Inc","","SMD","","5","","-","","","","Digi-Key","","","","","","CP1-2535SJCT-ND","","","","","","SJ1-2535-SMT-TR","*","CN?","CONN JACK STEREO 5PIN 2.5MM SMD"
"SSQ-126-03-G-D","HEADER 2X26 2.54mm 180 GRAUS 8.5mm length 10mm contacts length","","SSQ-126-03-G-D","","","","Samtec Inc.","","PTH","","52","","2.54mm","","","","","","","","","","","","","","","","SSQ-126-03-G-D","*","CN?","CONN RCPT 52POS 0.1 GOLD PCB"
"SSW-126-01-G-D","HEADER 2X26 2.54mm 180 GRAUS 8.5mm length 2.64mm contacts length","","SSW-126-01-G-D","","","","Samtec Inc.","","PTH","","52","","2.54mm","","","","","","","","","","","","","","","","SSW-126-01-G-D","*","CN?","CONN RCPT 52POS 0.1 GOLD PCB"
"TC2050-IDC-NL","TC2050-IDC-NL","","TC2050-IDC-NL","","","","Tag-Connect LLC","","SMD","","10","","1.27mm","","","","Digi-Key","","","","","","TC2050-IDC-NL-ND","","","","","","TC2050-IDC-NL","*","JTAG","CBL PLUG-OF-NAILS 10-PIN"
"TMS-125-01-G-S","TMS-118-01-G-S","","TMS-125-01-G-S","","","","Samtec Inc.","","Through Hole","","18","","0.050" (1.27mm)","","","","Digi-Key","Arrow","","","","","SAM8878-ND","aVaFlgLLU0A_1Y-lVkyRm2cUsrlwONEfi0g9H_BYpsw","","","","","*","*","CN?","CONN HEADER VERT SGL 18POS GOLD"
"TSM-107-01-L-DV-006","HEADER SMD 2X7 2.54mm 180 GRAUS","","TSM-107-01-L-DV-006","","","","Samtec Inc.","","SMD","","14","","2.54mm","","","","Arrow","Newark","Digi-Key","","","","TSM-107-01-L-DV-006","77P9270","SAM10289-ND","","","","TSM-107-01-L-DV-006","*","CN?",".025 SQ. TERMINAL STRIPS"
"TSW-101-05-T-S","PIN BAR 1 2.54mm 180 GRAUS","PIN BAR 1 2.54mm 180 GRAUS - Hide","TSW-101-05-T-S","","","","Samtec Inc","","PTH","","2","","2.54mm","","","","Farnell","Newark","Digi-Key","Arrow","Digi-Key","Newark","1925384","84T5043","SAM1019-02-ND","T9xGEsh_w6igb0LY4EP_nwsWhIkhCEmR3qLYTGm2XzA","SAM1019-01-ND","69X6269","TSW-101-05-T-S","*","CN?","CONN HEADER 1POS .100" SNGL TIN"
"TSW-102-05-T-S","PIN BAR 2 2.54mm 180 GRAUS","","TSW-102-05-T-S","","","","Samtec Inc","","PTH","","2","","2.54mm","","","","Farnell","Newark","Digi-Key","","","","1925384","84T5043","SAM1019-02-ND","","","","TSW-102-05-T-S","*","CN?","CONN HEADER 2POS .100" SNGL TIN"
"TSW-103-05-T-S","PIN BAR 3 2.54mm 180 GRAUS","","TSW-103-05-T-S","","","","Samtec Inc","","PTH","","3","","2.54mm","","","","Farnell","Digi-Key","Newark","","","","1925517","SAM1019-03-ND","84T5317","","","","TSW-103-05-T-S","*","CN?","CONN HEADER 3POS .100" SNGL TIN"
"TSW-126-07-G-D","PIN BAR 2X26 2.54mm 180 GRAUS 2.54mm length 5.84 contacts lenght","","TSW-126-07-G-D","","","","Samtec Inc.","","PTH","","52","","2.54mm","","","","","","","","","","","","","","","","TSW-126-07-G-D","*","CN?","CONN HEADER VERT 52POS 2.54MM"
"UE27AC54100","USB A PTH 90 R/A","","UE27AC54100","","","","Amphenol Commercial Products","","PTH","","4","","2mm","","","","Digi-Key","Newark","Allied","Farnell","Farnell","","UE27AC54100-ND","86K9575","70323399","2709068","2134385","","UE27AC54100","*","CN?","CONN RCPT USB TYPE A R/A GOLD"
"ZF5S-15-01-T-WT","ZF5S-15-01-T-WT","","ZF5S-15-01-T-WT","","","","Samtec Inc.","","","","","","","","","","Digi-Key","Farnell","Newark","","","","SAM10388-ND","1846439","16R9542","","","","","","CN?","ZERO INSERTION FORCE .5MM ASSY"
