"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","MANUFACTURER","MANUFACTURER PART NUMBER 1","MOUNT TYPE","MOUNTING TYPE","N OF POSITIONS","PARTNUMBER","PITCH","PUBLISHED","PUBLISHER","ROLL SPACING","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"5747150-7","DB9 VERT PTH","","5747150-7","","","","TE Connectivity","","PTH","","9","","-","","","","Digi-Key","Mouser","Newark","Farnell","","","A34073-ND","571-5747150-7","42K7435","2401250","","","5747150-7","*","CN?","CONN D-SUB RECPT STR 9POS PCB AU"
"61082-043402LF","B2B REC 2X20 0.8mm 180 GRAUS 15.7mm Height","","61082-043402LF","","","","Amphenol FCI","","SMD","","40","","0.8mm","","","","Newark","Avnet","Digi-Key","Mouser","","","06M1456","61082-043402LF/BKN","609-1617-1-ND","649-61082-043402LF","","","61082-043402LF","*","CN?","CONN RECEPT 40POS .8MM DUAL SMD"
"61082-044402LF","B2B REC 2X20 0.8mm 180 GRAUS 15.7mm Height","","61082-044402LF","","","","Amphenol FCI","","SMD","","40","","0.8mm","","","","Digi-Key","Avnet","Newark","Mouser","","","61082-044402LF-ND","61082-044402LF","30Y7848","649-61082-044402LF","","","61082-044402LF","*","CN?","CONN RECEPT 40POS .8MM DUAL SMD"
"61082-083402LF","B2B REC 2X40 0.8mm 180 GRAUS 11.7mm Height","","61082-083402LF","","","","Amphenol FCI","","SMD","","80","","0.8mm","","","","Newark","Arrow","Digi-Key","Avnet","","","57K8346","DobhqSPmcuMmsc-K9iF11GSRc253642WMUMCkGLyd9E","609-1629-1-ND","61082-083402LF/BKN","","","61082-083402LF","*","CN?","CONN RECEPT 80POS .8MM DUAL SMD"
"61082-084402LF","B2B REC 2X40 0.8mm 180 GRAUS 15.7mm Height","","61082-084402LF","","","","Amphenol FCI","","SMD","","80","","0.8mm","","","","Newark","","","","","","30Y7861","","","","","","61082-084402LF","*","CN?","CONN RECEPT 80POS .8MM DUAL SMD"
"61083-042402LF","B2B PLUG 2X20 0.8mm 180 GRAUS 5.7mm height","","61083-042402LF","","","","Amphenol FCI","","SMD","","40","","0.8mm","","","","Newark","Digi-Key","Avnet","Farnell","","","43K4463","609-1669-1-ND","61083-042402LF","1691849","","","61083-042402LF","*","CN?","CONN HEADER 40POS .8MM DUAL SMD"
"61083-044402LF","B2B PLUG 2X20 0.8mm 180 GRAUS 7.7mm height","","61083-044402LF","","","","Amphenol FCI","","SMD","","40","","0.8mm","","","","Avnet","Digi-Key","Newark","","","","61083-044402LF/BKN","609-1673-1-ND","06M1508","","","","61083-044402LF","*","CN?","CONN HEADER 40POS .8MM DUAL SMD"
"61083-081402LF","B2B PLUG 2X40 0.8mm 180 GRAUS 4.7mm Height","","61083-081402LF","","","","Amphenol FCI","","SMD","","80","","0.8mm","","","","Newark","Avnet","Digi-Key","Arrow","","","62K6467","61083-081402LF","609-1683-1-ND","mdwd3wwZ61NcXQtw1wmz58-4gjO5Gn-JMoZbvIO7EUA","","","61083-081402LF","*","CN?","CONN HEADER 80POS .8MM DUAL SMD"
"61083-084402LF","B2B PLUG 2X40 0.8mm 180 GRAUS 7.7mm Height","","61083-084402LF","","","","Amphenol FCI","","SMD","","80","","0.8mm","","","","Avnet","Digi-Key","Arrow","Farnell","Newark","","61083-084402LF","609-1689-1-ND","chvW_dXUSVpgoEYyIabXsPiZsxJ53idAL8c17zpcsYI","2112397","08X5189","","61083-084402LF","*","CN?","CONN HEADER 80POS .8MM DUAL SMD"
"614004135023","614004135023","","614004135023","http://www.we-online.de","Datasheet","http://katalog.we-online.de/em/datasheet/614004135023.pdf","Wurth Electronics Inc.","","","","","614004135023","","June 2016","Wurth Elektronik","","Digikey","Newark","Farnell","Digi-Key","Digi-Key","","732-2732-ND","16T0646","1841168","732-2732-ND","732-8245-ND","","","","J?","CONN USB 4PINS TYPE A VERT"
