"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CATEGORY","CLASS","COMMENT","DIELECTRIC","DIELETRIC","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","TOLERANCE","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"C2012Y5V1H105Z","C0805_MD","C0805_HD","Ceramic","","C2012Y5V1H105Z","Y5V","","TDK","SMD","Newark","Arrow","Mouser","Farnell","Digi-Key","","90R7769","48409501S8390777N1165","810-C2012Y5V1H105Z-2","1844296","445-3463-6-ND","","1uF","50V","*","C?","CAP CER 1UF 50V Y5V 0805"
"C3216X5R1A106M160AB","C1206_MD","","Ceramic","","C3216X5R1A106M160AB","X5R","","TDK","SMD","Digi-Key","Newark","Mouser","","","","445-1387-1-ND","90R7779","810-C3216X5R1A106M","","","","10uF","10V","*","C?","CAP CER 10UF 10V 20% X5R 1206"
"C3216X5R1A686M160AC","C1206_MD","","Ceramic","","C3216X5R1A686M160AC","X5R","","TDK Corporation","SMD","Arrow","Digi-Key","Newark","Digi-Key","","","0I_WNwWqGVcE6w5VeF1xzJgtIScThp7bO59ciP41ABoZVywxIBNyoAQstvnyfZZ0","445-14673-1-ND","11X2726","445-14673-6-ND","","","68uF","10V","*","C?","CAP CER 68UF 10V X5R 1206"
"C3225X5R0J107M250AC","C1210_MD","","Ceramic","","C3225X5R0J107M250AC","X5R","","TDK","SMD","Mouser","Newark","Digi-Key","Farnell","","","810-C3225X5R0J107M","90R7817","445-1437-1-ND","1907361","","","100uF","6.3V","*","C?","CAP CER 100UF 6.3V 20% X5R 1210"
"C3225X7R1C226M250AC","C1210_MD","","Ceramic","","C3225X7R1C226M250AC","X7R","","TDK","SMD","Newark","Mouser","Digi-Key","Farnell","","","90R7829","810-C3225X7R1C226M","445-3955-1-ND","1844357","","","22uF","16V","*","C?","CAP CER 22UF 16V 20% X7R 1210"
"C5750X7R1H106M230KB","C2220_MD","","Ceramic","","C5750X7R1H106M230KB","X7R","","TDK Corporation","SMD","Digi-Key","Mouser","Farnell","Newark","","","445-1454-1-ND","810-C5750X7R1H106M","1843189","90R7872","","","10uF","50V","*","C?","CAP CER 10UF 50V 20% X7R 5750"
"C941U332MUVDBA7317","CAP_CER_DISK 0.4 - skinny","","Ceramic/Safety","X1Y1","C941U332MUVDBA7317","Y5V","","Kemet","PTH","Farnell","Mouser","Digi-Key","","","","2440229","80-C941U332MUVDBAP","399-9500-1-ND","","","","3300pF","400V","*","C?","CAP CER 3300PF 400VAC Y5V RADIAL"
"CAP CER 0.1UF 50V X7R 1206","C1206_MD","","Ceramic Capacitor","","C1206C104K5RAC7867","XR7","","KEMET","SMD","Farnell","Digi-Key","Farnell","","","","1759361","399-1249-1-ND","2665332","","","","0.1uF","50V","*","C?","CAP CER 0.1UF 50V X7R 1206"
"CC0402DRNPO9BN9R0","C0402_MD","","Ceramic","","CC0402DRNPO9BN9R0","C0G","","Yageo","SMD","","","","","","","","","","","","","9pF","50V","*","C?","CAP CER 9PF 50V NPO 0402"
"CC0402JRNPO9BN161","C0402_MD","","Ceramic","","CC0402JRNPO9BN161","C0G","","Yageo","SMD","","","","","","","","","","","","","160pF","50V","*","C?","CAP CER 160PF 50V NPO 0402"
