"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","CURRENT","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"SRN1060-330M","SRN1060 Series","SRN1060-330M","3.15A","Bourns Inc.","SMD","Farnell","Digi-Key","Newark","","","","2329194RL","SRN1060-330MCT-ND","06X7480","","","","33uH","*","L?","FIXED IND 33UH 3.15A 72 MOHM SMD"
"SRN3015-100M","SRN3015 Series","SRN3015-100M","1A","Bourns Inc.","SMD","Mouser","Allied","Digi-Key","Farnell","Newark","","652-SRN3015-100M","70231646","SRN3015-100MCT-ND","2061634RL","61T9872","","10uH","*","L?","INDUCTOR POWER SHIELD 10UH SMD"
"SRN6045-150M","SRN6045 Series","SRN6045-150M","1.9A","Bourns Inc.","SMD","Newark","Mouser","Digi-Key","Farnell","","","64T2382","652-SRN6045-150M","SRN6045-150MCT-ND","2061653","","","15uH","*","L?","FIXED IND 15UH 1.9A 95.8 MOHM"
"SRN6045-220M","SRN6045 Series","SRN6045-220M","1.5A","Bourns Inc.","SMD","Newark","Allied","Digi-Key","Farnell","","","61T9890","70231663","SRN6045-220MCT-ND","2061654","","","22uH","*","L?","FIXED IND 22UH 1.5A 142 MOHM SMD"
"SRN6045-330M","SRN6045 Series","SRN6045-330M","1.4A","Bourns Inc.","SMD","Digi-Key","","","","","","SRN6045-330MCT-ND","","","","","","33uH","*","L?","FIXED IND 33UH 1.4A 188 MOHM SMD"
"SRN8040-470M","SNR8040 Series","SRN8040-470M","1.4A","Bourns","SMD","Farnell","Newark","Digi-Key","Mouser","Arrow","","2061674","64T2404","SRN8040-470MCT-ND","652-SRN8040-470M","51290896","","47uH","*","L?","INDUCTOR POWER SHIELD 47UH SMD"
"SRP5030T-1R0M","SRP5030T Series","SRP5030T-1R0M","7A","Bourns Inc.","SMD","Arrow","Farnell","Mouser","Digikey","","","SRP5030T-1R0M**MULT1","2392988","652-SRP5030T-1R0M","SRP5030T-1R0MCT-ND","","","1uH","*","L?","FIXED IND 1UH 7A 14 MOHM SMD"
"SRP6540-100M","SRP6540 Series","SRP6540-100M","4A","Bourns Inc.","SMD","Digikey","Avnet","Mouser","Newark","Arrow","Farnell","SRP6540-100MCT-ND","SRP6540-100M/BKN","652-SRP6540-100M","54W0099","SRP6540-100M**MULT1","2309904","10uH","*","L?","FIXED IND 10UH 4A 78.5 MOHM SMD"
"SRP6540-6R8M","SRP6540 Series","SRP6540-6R8M","5A","Bourns Inc.","SMD","Digi-Key","Arrow","Farnell","","","","SRP6540-6R8MCT-ND","7agoJYDUdP8W5JItxjnKniFjQvCR2EhGxynEoXUSJAY","2309902","","","","6.8uH","*","L?","FIXED IND 6.8UH 5A 49.5 MOHM SMD"
"SRR1280-4R7Y","SRR1280 Series","SRR1280-4R7Y","8.2A","Bourns Inc.","SMD","Digi-Key","Newark","Mouser","Farnell","","","SRR1280-4R7YCT-ND","33M0112","652-SRR1280-4R7Y","1635923","","","4.7uH","*","L?","INDUCTOR POWER 4.7UH 8.2A SMD"
"VLC5045T-3R3N","VLC5045 Series","VLC5045T-3R3N","4A","TDK Corporation","SMD","Newark","Mouser","Digi-Key","","","","17T7437","810-VLC5045T-3R3N","445-6525-1-ND","","","","3.3uH","*","L?","INDUCTOR POWER 3.3UH 4.0A SMD"
"VLC6045T-2R2N","VLC6045 Series","VLC6045T-2R2N","5.5A","TDK Corporation","SMD","Newark","Mouser","Digi-Key","","","","17T7446","810-VLC6045T-2R2N","445-6534-1-ND","","","","2.2uH","*","L?","INDUCTOR POWER 2.2UH 5.5A SMD"
"VLP8040T-150M","VLP8040 Series","VLP8040T-150M","2.6A","TDK Corporation","SMD","Digi-Key","","","","","","445-6572-1-ND","","","","","","15uH","*","L?","FIXED IND 15UH 2.6A 58 MOHM SMD"
