"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","MANUFACTURER","MOUNT TYPE","SHEETPART","DESIGNATOR","DESCRIPTION"
"0000017219","","Dissipador","0000017219 -DISSITEC INDUSTRIA E CO","PTH","*","HS?","DISSIPADOR MULTIWATT 0000017219"
"Heatsink 11x15x30mm","Dissipador 11x15x30mm","Dissipador","*","PTH","*","HS?","Heatsink 11x15x30mm"
